No_state,State,City,no_Date,Date,Deaths,Confirmed,Recovered,Active
15,ESTADO DE MEXICO,HUIXQUILUCAN,1,2020-02-21,0,1,1,0
7,CIUDAD DE MEXICO,IZTAPALAPA,2,2020-02-22,0,1,1,0
13,HIDALGO,PACHUCA DE SOTO,2,2020-02-22,0,1,1,0
7,CIUDAD DE MEXICO,GUSTAVO A. MADERO,3,2020-02-23,0,1,1,0
7,CIUDAD DE MEXICO,TLALPAN,4,2020-02-24,0,1,1,0
5,CHIAPAS,TUXTLA GUTIÉRREZ,5,2020-02-25,0,1,1,0
15,ESTADO DE MEXICO,NEZAHUALCÓYOTL,6,2020-02-26,1,1,0,0
7,CIUDAD DE MEXICO,MIGUEL HIDALGO,7,2020-02-27,1,1,0,0
8,COAHUILA DE ZARAGOZA,TORREÓN,7,2020-02-27,0,1,1,0
7,CIUDAD DE MEXICO,GUSTAVO A. MADERO,8,2020-02-28,0,1,1,0
7,CIUDAD DE MEXICO,XOCHIMILCO,8,2020-02-28,0,1,1,0
7,CIUDAD DE MEXICO,ÁLVARO OBREGÓN,9,2020-02-29,0,1,1,0
15,ESTADO DE MEXICO,NAUCALPAN DE JUÁREZ,9,2020-02-29,0,1,1,0
7,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,10,2020-03-01,0,2,2,0
14,JALISCO,ZAPOPAN,10,2020-03-01,0,2,2,0
23,QUINTANA ROO,BENITO JUÁREZ,10,2020-03-01,0,1,1,0
25,SINALOA,CULIACÁN,10,2020-03-01,1,1,0,0
7,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,11,2020-03-02,0,2,2,0
7,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,11,2020-03-02,0,1,1,0
7,CIUDAD DE MEXICO,TLALPAN,11,2020-03-02,0,1,1,0
15,ESTADO DE MEXICO,CUAUTITLÁN IZCALLI,11,2020-03-02,1,1,0,0
15,ESTADO DE MEXICO,NAUCALPAN DE JUÁREZ,11,2020-03-02,0,1,1,0
17,MORELOS,CUERNAVACA,11,2020-03-02,0,1,1,0
19,NUEVO LEON,MONTERREY,11,2020-03-02,0,1,1,0
7,CIUDAD DE MEXICO,CUAUHTÉMOC,12,2020-03-03,0,1,1,0
7,CIUDAD DE MEXICO,IZTAPALAPA,12,2020-03-03,1,1,0,0
15,ESTADO DE MEXICO,ATIZAPÁN DE ZARAGOZA,12,2020-03-03,0,1,1,0
15,ESTADO DE MEXICO,CHALCO,12,2020-03-03,0,1,1,0
15,ESTADO DE MEXICO,ECATEPEC DE MORELOS,12,2020-03-03,1,1,0,0
30,VERACRUZ DE IGNACIO DE LA LLAVE,BOCA DEL RÍO,12,2020-03-03,0,1,1,0
7,CIUDAD DE MEXICO,TLALPAN,13,2020-03-04,0,2,2,0
7,CIUDAD DE MEXICO,ÁLVARO OBREGÓN,13,2020-03-04,0,1,1,0
8,COAHUILA DE ZARAGOZA,SALTILLO,13,2020-03-04,0,1,1,0
14,JALISCO,ZAPOPAN,13,2020-03-04,0,1,1,0
15,ESTADO DE MEXICO,NEZAHUALCÓYOTL,13,2020-03-04,1,1,0,0
19,NUEVO LEON,SAN PEDRO GARZA GARCÍA,13,2020-03-04,0,1,1,0
7,CIUDAD DE MEXICO,MIGUEL HIDALGO,14,2020-03-05,0,2,2,0
15,ESTADO DE MEXICO,IXTAPALUCA,14,2020-03-05,0,1,1,0
19,NUEVO LEON,SAN PEDRO GARZA GARCÍA,14,2020-03-05,0,1,1,0
21,PUEBLA,PUEBLA,14,2020-03-05,0,2,2,0
22,QUERATARO,QUERÉTARO,14,2020-03-05,0,1,1,0
7,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,15,2020-03-06,0,1,1,0
7,CIUDAD DE MEXICO,MIGUEL HIDALGO,15,2020-03-06,0,2,2,0
7,CIUDAD DE MEXICO,TLALPAN,15,2020-03-06,0,1,1,0
7,CIUDAD DE MEXICO,ÁLVARO OBREGÓN,15,2020-03-06,1,2,1,0
10,DURANGO,DURANGO,15,2020-03-06,0,1,1,0
14,JALISCO,GUADALAJARA,15,2020-03-06,0,1,1,0
14,JALISCO,ZAPOPAN,15,2020-03-06,0,1,1,0
19,NUEVO LEON,SAN PEDRO GARZA GARCÍA,15,2020-03-06,1,1,0,0
1,AGUASCALIENTES,AGUASCALIENTES,16,2020-03-07,0,1,1,0
7,CIUDAD DE MEXICO,MIGUEL HIDALGO,16,2020-03-07,0,7,7,0
7,CIUDAD DE MEXICO,TLALPAN,16,2020-03-07,0,1,1,0
7,CIUDAD DE MEXICO,ÁLVARO OBREGÓN,16,2020-03-07,0,1,1,0
13,HIDALGO,MINERAL DE LA REFORMA,16,2020-03-07,0,1,1,0
14,JALISCO,ZAPOPAN,16,2020-03-07,0,1,1,0
15,ESTADO DE MEXICO,HUIXQUILUCAN,16,2020-03-07,0,1,1,0
15,ESTADO DE MEXICO,NAUCALPAN DE JUÁREZ,16,2020-03-07,0,3,3,0
15,ESTADO DE MEXICO,XONACATLÁN,16,2020-03-07,0,1,1,0
19,NUEVO LEON,MONTERREY,16,2020-03-07,0,1,1,0
19,NUEVO LEON,SAN PEDRO GARZA GARCÍA,16,2020-03-07,0,1,1,0
24,SAN LUIS POTOSI,SAN LUIS POTOSÍ,16,2020-03-07,0,1,1,0
31,Yucatan,MÉRIDA,16,2020-03-07,0,1,1,0
4,CAMPECHE,CARMEN,17,2020-03-08,0,1,1,0
7,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,17,2020-03-08,0,1,1,0
7,CIUDAD DE MEXICO,MIGUEL HIDALGO,17,2020-03-08,0,3,3,0
7,CIUDAD DE MEXICO,ÁLVARO OBREGÓN,17,2020-03-08,0,1,1,0
12,GUERRERO,CHILPANCINGO DE LOS BRAVO,17,2020-03-08,0,1,1,0
13,HIDALGO,PACHUCA DE SOTO,17,2020-03-08,1,1,0,0
