_id,No_Estado,Poblacion_Estado,Ratio_Activos_Est,Ratio_Muertes_Confirmados,Ratio_muerte_Est,Total_Activoss,Total_Confirmados,Total_Muertes,Total_Recuperados
AGUASCALIENTES,1,1434635,0.9078,0.0791,0.0718,558,13024,1030,11436
BAJA CALIFORNIA,2,3634868,1.0139,0.1835,0.186,674,36854,6762,29418
BAJA CALIFORNIA SUR,3,804708,2.293,0.0461,0.1056,1730,18452,850,15872
CAMPECHE,4,1000617,1.1665,0.1345,0.1569,146,11672,1570,9956
CHIAPAS,5,5730367,0.224,0.1684,0.0377,152,12836,2162,10522
CHIHUAHUA,6,3801487,0.4877,0.1364,0.0665,262,18538,2528,15748
CIUDAD DE MEXICO,7,9018645,2.5444,0.0795,0.2023,11070,229472,18242,200160
COAHUILA DE ZARAGOZA,8,3218720,1.5284,0.0682,0.1043,2284,49194,3356,43554
COLIMA,9,785153,1.1048,0.1088,0.1202,590,8674,944,7140
DURANGO,10,1868996,0.858,0.0668,0.0574,1516,16036,1072,13448
ESTADO DE MEXICO,17,17427790,0.4348,0.1455,0.0633,2372,75774,11024,62378
GUANAJUATO,11,6228175,1.2137,0.0707,0.0859,5220,75592,5348,65024
GUERRERO,12,3657048,0.8812,0.1096,0.0966,1878,32227,3533,26816
HIDALGO,13,3086414,0.3812,0.1531,0.0584,574,11764,1801,9389
JALISCO,14,8409693,0.2844,0.1212,0.0345,1727,23919,2898,19294
MICHOACAN DE OCAMPO,15,4825401,0.3791,0.0811,0.0308,994,18295,1484,15817
MORELOS,16,2044058,0.2753,0.1855,0.0511,164,5627,1044,4419
NAYARIT,18,1288571,0.4326,0.1243,0.0538,265,5575,693,4617
NUEVO LEON,19,5610153,0.6222,0.0774,0.0482,2462,34906,2702,29742
OAXACA,20,4143593,0.3643,0.0911,0.0332,554,15096,1376,13166
PUEBLA,21,6604451,0.4489,0.1286,0.0577,954,29647,3813,24880
QUERATARO,22,2279637,0.3496,0.1072,0.0375,597,7970,854,6519
QUINTANA ROO,23,1723259,0.6502,0.1392,0.0905,360,11204,1560,9284
SAN LUIS POTOSI,24,2866142,0.7414,0.0688,0.051,862,21250,1462,18926
SINALOA,25,3156674,0.5548,0.1716,0.0952,411,17513,3005,14097
SONORA,26,3074745,0.7641,0.1184,0.0904,573,23495,2781,20141
TABASCO,27,2572287,1.1859,0.0878,0.1041,936,30505,2679,26890
TAMAULIPAS,28,3650602,0.75,0.0722,0.0542,855,27378,1977,24546
TLAXCALA,29,1380011,0.5121,0.15,0.0768,227,7067,1060,5780
VERACRUZ DE IGNACIO DE LA LLAVE,30,8539862,0.3675,0.1304,0.0479,937,31380,4093,26350
Yucatan,31,2259098,0.7514,0.0867,0.0652,1203,16974,1472,14299
ZACATECAS,32,1666426,0.3941,0.095,0.0374,598,6567,624,5345
